date,Ex_rate
01-01-1990 00:00,0.7855
02-01-1990 00:00,0.7818
03-01-1990 00:00,0.7867
04-01-1990 00:00,0.786
05-01-1990 00:00,0.7849
06-01-1990 00:00,0.7866
07-01-1990 00:00,0.7886
08-01-1990 00:00,0.791
09-01-1990 00:00,0.7939
10-01-1990 00:00,0.7894
11-01-1990 00:00,0.7917
12-01-1990 00:00,0.7941
13-01-1990 00:00,0.7935
14-01-1990 00:00,0.7954
15-01-1990 00:00,0.7751
16-01-1990 00:00,0.7622
17-01-1990 00:00,0.7583
18-01-1990 00:00,0.7605
19-01-1990 00:00,0.7635
20-01-1990 00:00,0.766
21-01-1990 00:00,0.7685
22-01-1990 00:00,0.7702
23-01-1990 00:00,0.7735
24-01-1990 00:00,0.7655
25-01-1990 00:00,0.7665
26-01-1990 00:00,0.7575
27-01-1990 00:00,0.7545
28-01-1990 00:00,0.7493
29-01-1990 00:00,0.7521
30-01-1990 00:00,0.7521
31-01-1990 00:00,0.7457
01-02-1990 00:00,0.75
02-02-1990 00:00,0.7567
03-02-1990 00:00,0.7595
04-02-1990 00:00,0.7586
05-02-1990 00:00,0.7646
06-02-1990 00:00,0.7652
07-02-1990 00:00,0.765
08-02-1990 00:00,0.7605
09-02-1990 00:00,0.7601
10-02-1990 00:00,0.7635
11-02-1990 00:00,0.7596
12-02-1990 00:00,0.7585
13-02-1990 00:00,0.7611
14-02-1990 00:00,0.7596
15-02-1990 00:00,0.7607
16-02-1990 00:00,0.7607
17-02-1990 00:00,0.758
18-02-1990 00:00,0.761
19-02-1990 00:00,0.7635
20-02-1990 00:00,0.7563
21-02-1990 00:00,0.7536
22-02-1990 00:00,0.7549
23-02-1990 00:00,0.7565
24-02-1990 00:00,0.752
25-02-1990 00:00,0.7504
26-02-1990 00:00,0.7474
27-02-1990 00:00,0.7469
28-02-1990 00:00,0.7452
01-03-1990 00:00,0.7471
02-03-1990 00:00,0.7523
03-03-1990 00:00,0.7548
04-03-1990 00:00,0.7561
05-03-1990 00:00,0.7605
06-03-1990 00:00,0.7669
07-03-1990 00:00,0.765
08-03-1990 00:00,0.765
09-03-1990 00:00,0.763
10-03-1990 00:00,0.7643
11-03-1990 00:00,0.7663
12-03-1990 00:00,0.7663
13-03-1990 00:00,0.765
14-03-1990 00:00,0.7654
15-03-1990 00:00,0.7653
16-03-1990 00:00,0.77
17-03-1990 00:00,0.7732
18-03-1990 00:00,0.7705
19-03-1990 00:00,0.7655
20-03-1990 00:00,0.7663
21-03-1990 00:00,0.766
22-03-1990 00:00,0.756
23-03-1990 00:00,0.7503
